gx,gy,gz,ax,ay,az,label
-11783206,7296947,13990076,-57373048,10644531,26879884,1
-28549618,-7327481,-10970992,-43969728,-238769532,89990232,1
10265649,25549618,-3421374,-27832032,7597656,6479492,1
-24961832,7042748,9470992,14892578,10253906,8547363,1
-206290068,-2077939,-2501374,-73583984,-617675768,2277832,1
19687024,9927481,-10529008,-91552732,1999939,38256836,1
-2501374,51954196,19674046,-76171868,1078125,61694336,1
8183969,5720611,-19305344,-9667969,40722656,6262207,1
112229,11480916,-1778626,-1784668,10253906,12087402,1
-2501374,11355725,-59687024,-25,198657232,13793946,1
21374046,23061832,-3414504,-5317383,9001465,3557129,1
73091608,10523664,35480916,-230712892,-2368164,12109375,1
-2501374,62099236,-15045038,-14990234,5827637,12692871,1
-9331298,-55755724,-2501374,-27514648,8210449,12573242,1
97900768,-15702291,-5672519,-53710936,-19555664,52856448,1
-722290036,55305344,9076336,949707,66748044,7324219,1
-26526718,1478626,-13473283,-23339844,6567383,6665039,1
-10270229,13503816,-180519084,16601562,1999939,95092776,1
9287023,4747328,1662519,-22045898,-32421876,11921387,1
172198468,-17694656,25012978,-16166992,-20,18947754,1
14405344,-8419084,-43129772,-20947266,-2709961,10964356,1
-1300,61603056,-4879389,184326168,122558592,8347168,1
-9561069,25091602,-235290068,-6958008,11433106,-3100586,1
11320611,48076336,-89091608,8666992,34887696,1130127,1
2076336,40412212,10654962,-34594728,375,82250976,1
-13412213,-2501374,-100229,-7084961,-20,1999939,1
27045802,-19505344,-10932825,-19458008,-2783203,5488281,1
2206107,40190836,38755724,-56152344,11010742,6843262,1
-12787786,-2501374,-2501374,-167797852,-199780268,10883789,1
62671756,-7064886,-12172519,-1328125,-2199707,76782224,1
-15254962,41007632,-5247328,437744136,7416992,79003908,1
-2501374,-94259544,-2501374,-8149414,10073242,-30517578,1
2506107,30503816,-61221376,-13085938,788818368,30688476,1
-2501374,4452672,-20022902,342041032,1999939,10793457,1
-65343512,22331298,-5844275,-106933592,9416504,14389648,1
36755724,26778626,90175576,-19482422,-78344728,13041992,1
19140458,2389313,246351152,-5407715,-20,1999939,1
971145,-26312976,-4420611,7470703,-6542969,7067871,1
47633588,-2501374,228648852,-20,-20,-17358398,1
-13001528,-16267176,-23909924,-732421868,11628418,9736328,1
21450382,-9106871,-9103053,-18701172,-9206543,15009766,1
2832061,-46183204,-530229,16137696,-17700196,8977051,1
24923664,12824428,-13061069,7446289,118652344,10422363,1
32366412,9053435,28671754,-37353516,-4975586,10529785,1
1810916,1708397,-265190832,11669922,-31958008,11193848,1
11833588,2361832,-47564884,8862305,97753908,4182129,1
-12938931,2593893,6833588,-1159668,10964356,78564456,1
-69938936,-11961832,23343512,9033203,-4375,13183594,1
22595418,-16564885,-4665649,12866211,31738282,10236816,1
-3785496,10412213,-3979389,168701168,28588868,6542969,1
35335876,55748092,7819847,8886719,46875,9682617,1
-29396946,-31221372,-57251908,15161133,-12841797,9863281,1
8007633,18778626,-7735878,61035156,-13598633,9172363,1
36870228,-9793893,-54374048,9838867,2919922,10795898,1
-30091602,-17137406,57412212,-34179688,63842776,10209961,1
-10511451,3516794,17648856,13745117,-12312012,63549804,1
24244274,25923664,-78221376,3515625,359130836,7858887,1
57984732,318396936,6223664,-7861328,29003906,87109376,1
11717557,9732824,4017557,-43945312,-22583008,10437012,1
36709924,-1378626,-5216794,41259764,-9814453,6887207,1
-23053434,31450382,-8030535,-30029296,57788084,9482422,1
-3821374,-12274809,66778624,-8300781,27197266,871582032,1
-19725192,-18816794,18946566,-95947268,-6086426,9604492,1
13969465,5183206,-40419844,36132812,-16113282,92944332,1
-61755724,-38015268,-17786258,-10961914,4560547,84887692,1
-59847324,-9160305,42366412,-8276367,-33691408,9289551,1
7442748,-4351145,-20832062,-28320312,-38256836,13540039,1
16282442,-67175576,-4921374,-1928711,192138668,77319336,1
29343512,42198476,14832061,-12548828,49731444,6760254,1
-29412214,-10992366,35389312,-182617184,12060547,907714832,1
-24213742,-7725191,-33267172,-5517578,99365232,9831543,1
17641222,15770992,-15106871,-214843736,382324232,8359375,1
10312977,10427481,3189313,-10131836,25219728,9160156,1
24580152,-2193893,-38664124,-24902344,-2277832,8234863,1
-1667939,-14137404,-4432061,-64941408,5576172,8901367,1
15725191,8885496,31778626,-10986328,21850586,744384736,1
304427484,20305344,4070229,-13891602,-2265625,10356445,1
21137406,40305344,-29992366,-24414062,4296875,10644531,1
25801528,-39847328,32366412,28808594,5102539,78344728,1
-17946566,72290077,3432061,-8544922,15161133,10083008,1
-2129771,10114504,-22091602,-8496094,-27148438,11125488,1
34671756,2819084,-3364122,-84228516,-78125,79052732,1
-12900764,1221374,30145038,-26000976,5319824,6750488,1
-10854961,8549619,24221374,-2084961,-14526367,10769043,1
-1359542,-27625954,-366030536,-15551758,61035156,81884768,1
15816793,10557252,57251908,-15332031,57421876,10671387,1
29343512,5308397,5008397,-13793946,-3203125,9538574,1
10687023,-14687023,-5393893,-15161133,-28100586,9260254,1
-46488548,-13732824,-39671756,-1616211,40771484,7993164,1
36068704,181603052,80061064,-22607422,14672852,638916,1
-10175572,-59007636,14572519,-25073242,-222656252,8935547,1
16625954,-2442748,-4989313,-11450195,11230469,7836914,1
28396948,-31755726,-73511452,-14941406,43359376,79541016,1
74656488,12137404,38687024,-2121582,-5126953,93237304,1
-7778626,-149007632,-20862594,-9667969,-83496092,9172363,1
-3221374,-12290076,-24183206,-168457032,32055664,8395996,1
-1908397,17068702,37580156,-17358398,24780274,87890624,1
31755726,13091603,45648856,-12963867,-222167968,10073242,1
18923664,-9435115,-29671754,-1340332,80322264,8676758,1
-14351145,2310687,1438168,-17358398,3930664,800781236,1
-10458015,440458,2476336,-1887207,30273438,900634736,1
-13656488,356488536,12664123,-21606446,-11401367,9777832,1
22137404,-48320612,-41351148,-14282226,-12451172,9494629,1
15473283,-171755732,-37809164,-1628418,3737793,890625,1
58702292,13992367,4210687,-3371582,3791504,8015137,1
20610688,21984732,4480916,-16064453,-24291992,11704102,1
32748092,-20969466,-27038168,-10473633,-12207031,8952637,1
2032061,8541985,-228015268,-16748047,43969728,8117676,1
16793894,68396948,4848855,-27783204,29101562,96362308,1
-2425191,52671752,86259544,-13012696,539550768,8503418,1
33816792,-4854962,-41137404,-1586914,91552732,9614258,1
22671756,-20839694,8206107,-14575196,6040039,917968736,1
-32862596,5778626,39419844,-4321289,44921876,43432616,1
687022932,-10305344,-14832061,-12207031,-22387696,11430664,1
10122137,-1732061,-49847324,-7861328,24072266,60180664,1
-10885496,28396948,-9236641,-119384768,230957032,7937012,1
-2019084,-11648855,33687024,-13061524,1784668,6447754,1
32442748,-6885496,-33519084,-18554688,-19506836,10344238,1
45496184,-14641221,-10984733,-10864258,3635254,94873048,1
-14328244,11282443,17358778,-21704102,28442384,98706056,1
-16832062,-50992364,-773282436,-17333984,-174804684,10681152,1
